QUESTION,ANSWER
Можно ли принимать фото на паспорт в очках?,"Для граждан, постоянно носящих очки, обязательно фотографирование в очках без тонированных стекол. Оправа очков не должна закрывать глаза."
Можно ли менять подпись при получении нового паспорта РФ?,"При каждой замене паспорта подпись может меняться.
Необходимо обратить внимание заявителя на то, что подпись в новом паспорте должна соответствовать его подписи в заявлении."
Можно ли менять подпись при замене российского паспорта?,"При каждой замене паспорта подпись может меняться.
Необходимо обратить внимание заявителя на то, что подпись в новом паспорте должна соответствовать его подписи в заявлении."
Где оформляется первый паспорт РФ в 16 лет?,Прием документов в МФЦ на предоставление государственной услуги по выдаче паспорта в связи с достижением 14-летнего возраста осуществляется до исполнения гражданину 18 лет (от 14 до 17 лет включительно).
Где оформляется первый паспорт РФ совершеннолетним?," В случае если на дату подачи заявления о выдаче паспорта гражданин является совершеннолетним (достигшим 18-летнего возраста), и ранее ему паспорт не выдавался, подразделением по вопросам миграции устанавливается его личность. В данном случае заявление о выдаче паспорта подается непосредственно в подразделение по вопросам миграции по причине - получение паспорта впервые."
Чье согласие требуется при регистрации в коммунальной квартире?,"Регистрации гражданина в жилое помещение, находящееся в его собственности, при наличии нескольких собственников жилого помещения, согласие других собственников не требуется.
Регистрация гражданина к собственнику жилого помещения осуществляется с согласия собственника (всех собственников).
Регистрация в комнату в коммунальной квартире членов семьи (супругов, детей и родителей) собственника осуществляется без предоставления согласий собственников других комнат в данной коммунальной квартире. В этом случае требуется предоставление согласия только от собственника (всех собственников) данной комнаты."
Кто дает согласие при прописке в коммунальную квартиру?,"Регистрации гражданина в жилое помещение, находящееся в его собственности, при наличии нескольких собственников жилого помещения, согласие других собственников не требуется.
Регистрация гражданина к собственнику жилого помещения осуществляется с согласия собственника (всех собственников).
Регистрация в комнату в коммунальной квартире членов семьи (супругов, детей и родителей) собственника осуществляется без предоставления согласий собственников других комнат в данной коммунальной квартире. В этом случае требуется предоставление согласия только от собственника (всех собственников) данной комнаты."
Действительна ли доверенность без даты?,"Если в доверенности не указан срок ее действия, она сохраняет силу в течение года со дня ее совершения.
Доверенность, в которой не указана дата ее совершения, ничтожна.
Удостоверенная нотариусом доверенность, предназначенная для совершения действий за границей и не содержащая указание о сроке ее действия, сохраняет силу до ее отмены лицом, выдавшим доверенность."
Сколько действует доверенность без даты?,"Если в доверенности не указан срок ее действия, она сохраняет силу в течение года со дня ее совершения.
Доверенность, в которой не указана дата ее совершения, ничтожна.
Удостоверенная нотариусом доверенность, предназначенная для совершения действий за границей и не содержащая указание о сроке ее действия, сохраняет силу до ее отмены лицом, выдавшим доверенность."
Сколько действует довереность если не указан срок?,"Если в доверенности не указан срок ее действия, она сохраняет силу в течение года со дня ее совершения.
Доверенность, в которой не указана дата ее совершения, ничтожна.
Удостоверенная нотариусом доверенность, предназначенная для совершения действий за границей и не содержащая указание о сроке ее действия, сохраняет силу до ее отмены лицом, выдавшим доверенность."
Какой срок действия доверенности?,"Если в доверенности не указан срок ее действия, она сохраняет силу в течение года со дня ее совершения.
Доверенность, в которой не указана дата ее совершения, ничтожна.
Удостоверенная нотариусом доверенность, предназначенная для совершения действий за границей и не содержащая указание о сроке ее действия, сохраняет силу до ее отмены лицом, выдавшим доверенность."
"Действительна ли доверенность, выданная умершим человеком?","Действие доверенности прекращается вследствие смерти гражданина, выдавшего доверенность, признания его недееспособным, ограниченно дееспособным или безвестно отсутствующим."
Действительна ли доверенность в случае смерти доверителя?,"Действие доверенности прекращается вследствие смерти гражданина, выдавшего доверенность, признания его недееспособным, ограниченно дееспособным или безвестно отсутствующим."
"Нужно ли свидетельство о браке, если в трудовой исправлена фамилия?","Если имеется запись отдела кадров о смене фамилии, заверенная печатью и подписью начальника (инспектора) отдела кадров, то представление дополнительных документов для подтверждения смены фамилии не требуется."
Как внести заявителя без имени?,"Если гражданин не имеет фамилии, имени, то в «Карточке заявителя» в полях фамилия, имя нужно указать значение «нет»."
Как внести заявителя без фамилии?,"Если гражданин не имеет фамилии, имени, то в «Карточке заявителя» в полях фамилия, имя нужно указать значение «нет»."
"Что делать, если у заявителя нет имени и фамилии?","Если гражданин не имеет фамилии, имени, то в «Карточке заявителя» в полях фамилия, имя нужно указать значение «нет»."
Как внести в ЭДО заявителя без отчества?,"Если гражданин не имеет отчества, то в «Карточке заявителя» в поле отчество нужно ставить один знак « - »."
"Что делать, если гражданин без отчества?","Если гражданин не имеет отчества, то в «Карточке заявителя» в поле отчество нужно ставить один знак « - »."
Как регистрировать карточку в ЭДО на иностранного гражданина с паспортом на иностранном языке?,"Для подготовки письменного перевода документа с иностранного на русский язык, в случае если в ДУЛ заявителя его ФИО и место рождения внесены на латинице (при отсутствии перевода ДУЛ), в регистрационной карточке и в заявке данные вносятся на латинице."
Как внести паспорт для перевода?,"Для подготовки письменного перевода документа с иностранного на русский язык, в случае если в ДУЛ заявителя его ФИО и место рождения внесены на латинице (при отсутствии перевода ДУЛ), в регистрационной карточке и в заявке данные вносятся на латинице."
"Как оформить карточку в ЭДО, если нужен перевод иностранного паспорта?","Для подготовки письменного перевода документа с иностранного на русский язык, в случае если в ДУЛ заявителя его ФИО и место рождения внесены на латинице (при отсутствии перевода ДУЛ), в регистрационной карточке и в заявке данные вносятся на латинице."
"Если заявителю на перевод документа требуется проставление апостиля, в каком виде должен быть осуществлен перевод документа?",Перевод документа для дальнейшего апостилирования должен быть нотариально оформленный.
Какой должен быть перевод документа для апостиля?,Перевод документа для дальнейшего апостилирования должен быть нотариально оформленный.
Сколько школ можно указать в одном обращении на зачисление?,"В одном обращении указывается только 1 школа. Если заявитель хочет указать несколько школ, необходимо оформить электронное дело на каждую школу (отказа по дублю не будет)."
Как оформить обращение на зачисление в несколько школ?,"В одном обращении указывается только 1 школа. Если заявитель хочет указать несколько школ, необходимо оформить электронное дело на каждую школу (отказа по дублю не будет)."
Какого года документы можно запросить из архива ЗАГС?," В архивах отделов ЗАГС хранятся сведения о регистрации актовых записей с 1925 года по настоящее время. 
Метрические книги, составленные до середины 1918 года хранятся в Государственном историческом архиве Санкт-Петербурга по адресу: Псковская ул., д. 18.
Книги актов гражданского состояния, зарегистрированных с середины 1918 года по 1924 год включительно хранятся в Центральном государственном архиве Санкт-Петербурга по адресу: ул. Антонова-Овсеенко, д. 1, корп. 1.
За повторными актами гражданского состояния, составленными до 1925 года, заявители должны самостоятельно обратиться в вышеуказанные государственные архивы."
С какого года хранятся сведения в архивах ЗАГС?, В архивах отделов ЗАГС хранятся сведения о регистрации актовых записей с 1925 года по настоящее время. 
Где запросить старые свидетельства ЗАГС?," В архивах отделов ЗАГС хранятся сведения о регистрации актовых записей с 1925 года по настоящее время. 
Метрические книги, составленные до середины 1918 года хранятся в Государственном историческом архиве Санкт-Петербурга по адресу: Псковская ул., д. 18.
Книги актов гражданского состояния, зарегистрированных с середины 1918 года по 1924 год включительно хранятся в Центральном государственном архиве Санкт-Петербурга по адресу: ул. Антонова-Овсеенко, д. 1, корп. 1.
За повторными актами гражданского состояния, составленными до 1925 года, заявители должны самостоятельно обратиться в вышеуказанные государственные архивы."
Какая карта нужна для электронного сертификата ТСР?,Обязательным условием для получения ЭС является наличие действующей карты «МИР» любого российского банка.
Какая карта подходит для электронного сертификата?,Обязательным условием для получения ЭС является наличие действующей карты «МИР» любого российского банка.
Можно ли оплатить ТСР по сертификату в другом городе?,"ЭС возможно использовать в специализированных торговых точках, в том числе в онлайн-магазинах. Сертификат действует на всей территории России."
Где действует ЭС для покупки ТСР?,"ЭС возможно использовать в специализированных торговых точках, в том числе в онлайн-магазинах. Сертификат действует на всей территории России."
Какие основания для замены СНИЛС?,"Изменение у застрахованного лица фамилии, имени, отчества, даты рождения, места рождения, пола, гражданства;
Установление неточности или ошибочности в сведениях, содержащихся в страховом свидетельстве обязательного пенсионного страхования. 
В случае изменения у застрахованного лица адреса регистрации и/или адреса фактического места жительства, а также паспортных данных, заявителю необходимо оформить ""Обмен СНИЛС"""
В каких случаях СНИЛС подлежит замене?,"Изменение у застрахованного лица фамилии, имени, отчества, даты рождения, места рождения, пола, гражданства;
Установление неточности или ошибочности в сведениях, содержащихся в страховом свидетельстве обязательного пенсионного страхования. 
В случае изменения у застрахованного лица адреса регистрации и/или адреса фактического места жительства, а также паспортных данных, заявителю необходимо оформить ""Обмен СНИЛС"""
Надо ли менять СНИЛС при изменении адреса?,"В случае изменения у застрахованного лица адреса регистрации и/или адреса фактического места жительства, а также паспортных данных, заявителю необходимо оформить ""Обмен СНИЛС"""
Нужно ли менять СНИЛС при изменении прописки?,"В случае изменения у застрахованного лица адреса регистрации и/или адреса фактического места жительства, а также паспортных данных, заявителю необходимо оформить ""Обмен СНИЛС"""
Как узнать кадастровый номер?,"Кадастровый номер объекта недвижимости, дату и номер регистрационной записи (о праве, ипотеки и т.д) заявители могут узнать на Портале Росреестра либо по телефону горячей линии Росреестра: 8 800 100 34 34. Доступ к порталу обеспечен на компьютерах самообслуживания."
Где найти информацию о кадастровом номере ОН?,"Кадастровый номер объекта недвижимости, дату и номер регистрационной записи (о праве, ипотеки и т.д) заявители могут узнать на Портале Росреестра либо по телефону горячей линии Росреестра: 8 800 100 34 34. Доступ к порталу обеспечен на компьютерах самообслуживания."
Где найти кадастровый номер?,"Кадастровый номер объекта недвижимости, дату и номер регистрационной записи (о праве, ипотеки и т.д) заявители могут узнать на Портале Росреестра либо по телефону горячей линии Росреестра: 8 800 100 34 34. Доступ к порталу обеспечен на компьютерах самообслуживания."
Как внести двойную фамилию в ПК ПВД?,"Двойная фамилия, писать: Фамилия- (пробел) Фамилия"
"Двойная фамилия, как заносить в ПКПВД?","Двойная фамилия, писать: Фамилия- (пробел) Фамилия"
Какие основания для выдачи дубликата СНИЛС?,"Утрата страхового свидетельства;
Непригодность страхового свидетельства для использования."
Может ли быть составлено соглашение о распределении долей за счет средств материнского семейного капитала в простой письменной форме?,"Соглашение об определение долей, когда объект недвижимости приобретался за счет средств материнского капитала, может быть составлено в простой письменной форме, при условии, если в соглашении указано, что та доля, которая приобреталась за счет собственных средств поступает в общую совместную собственность супругов, а та доля, что приобреталась за счет средств материнского семейного капитала - в общую долевую собственность супругов и детей."
В какой форме соглашение о выделении долей за счет средств МК?,"Соглашение об определение долей, когда объект недвижимости приобретался за счет средств материнского капитала, может быть составлено в простой письменной форме, при условии, если в соглашении указано, что та доля, которая приобреталась за счет собственных средств поступает в общую совместную собственность супругов, а та доля, что приобреталась за счет средств материнского семейного капитала - в общую долевую собственность супругов и детей."
Какая форма соглашения о выделении долей за счет мат.капитала?,"Соглашение об определение долей, когда объект недвижимости приобретался за счет средств материнского капитала, может быть составлено в простой письменной форме, при условии, если в соглашении указано, что та доля, которая приобреталась за счет собственных средств поступает в общую совместную собственность супругов, а та доля, что приобреталась за счет средств материнского семейного капитала - в общую долевую собственность супругов и детей."
Является ли обязательным документ «поручение судебных приставов» для снятия ареста.,"Данный документ не является обязательным, так как с заявлением на государственную регистрацию ареста, запрещения или его прекращения может обратиться любое заинтересованное лицо. Обновление МР от 18.10.2019."
"Часто за копией договора из реестрового дела ОН обращаются заявители, не успевшие зарегистрировать право собственности на объект и потерявшие договор долевого участия. Будет ли им предоставлена копия ДДУ?","Да, будет."
"Может ли быть предоставлена копия договора долевого участия, если собственник потерял договор и не зарегистрировал право собственности на объект?","Да, будет."
"Какое лицо может обратиться за исправлением технической ошибки в выписке из ЕГРН: правообладатель, лицо, являющееся получателем выписки или любое заинтересованное лицо?",Любое заинтересованное лицо.
Кто может обратиться за исправлением технической ошибки в выписке из ЕГРН?,Любое заинтересованное лицо.
Кто может подать заявление на исправление технической ошибки в выписке из ЕГРН?,Любое заинтересованное лицо.
Какое лицо может являться заявителем по услуге исправление технической ошибки в выписке из ЕГРН?,Любое заинтересованное лицо.
Может ли цессионарий получить копию договора участия в долевом строительстве?,"Да, может."
Цессия — это,"Цессия — это сделка, в результате которой одна сторона уступает право требования другой стороне за вознаграждение. 
Стороны сделки именуются следующим образом: 
Цедент — это юридическое или физическое лицо, являющееся первоначальным кредитором и уступающее свои права требования долга другому лицу. 
Цессионарий — это лицо, приобретающее право требования, т.е. новый кредитор."
Цедент — это,"Цедент — это юридическое или физическое лицо, являющееся первоначальным кредитором и уступающее свои права требования долга другому лицу."
Цессионарий — это,"Цессионарий — это лицо, приобретающее право требования, т.е. новый кредитор."
"В случае, если в запросе указан некорректный кадастровый номер объекта недвижимости, но верный адрес и площадь, будет ли направлен на адрес электронной почты запрос об уточнении характеристик объекта недвижимости в связи с невозможностью однозначно идентифицировать объект?","При наличии в запросе кадастрового номера объекта недвижимости, он будет отработан в автоматическом режиме.  Если это копия документа и в запросе указан адрес электронной почты заявителя, то будет направлен запрос об уточнении запрошенной информации."
Может ли собственник объекта недвижимости получить копию постановления о наложении ареста или иного документа об ограничении прав на объект недвижимости?,"Да, может."
"Может ли собственник получить копию  постановления, решения суда об аресте недвижимости?","Да, может."
"Разъясните, пожалуйста, как правильно завести в ПК ПВД заявителя, если за предоставлением копии документа обратился заявитель - физическое лицо с поручением от имени судебного пристава-исполнителя?","Лицам, действующим по поручениям судебных приставов-исполнителей, сведения в виде копии документа из реестрового дела объекта недвижимости не предоставляются."
Предоставляется ли копия документа из реестрового дела объекта недвижимости заявителю - физическому лицу с поручением от имени судебного пристава-исполнителя?,"Лицам, действующим по поручениям судебных приставов-исполнителей, сведения в виде копии документа из реестрового дела объекта недвижимости не предоставляются."
"При подаче заявления об исправлении технической ошибки в каком виде должен быть представлен документ, в котором допущена ошибка (оригинал или копия либо может быть вообще не представлен)?","Должен быть представлен оригинал документа, в котором допущена ошибка (в соответствии с приказом Росреестра от 27.09.2019 №П/0401). "
Нужно ли предоставить оргинал документа в котором допущена  техническая ошибка по услуге  исправление технической ошибки?,"Должен быть представлен оригинал документа, в котором допущена ошибка (в соответствии с приказом Росреестра от 27.09.2019 №П/0401). "
"Относится ли финансовый управляющий к категории лиц, имеющих право на бесплатное предоставление сведений?","Да, относится, т.к. финансовый управляющий - это арбитражный управляющий, назначенный Арбитражным судом по делу о банкротстве гражданина. "
"В случае обращения за предоставлением сведений, содержащихся в ЕГРН, представителя арбитражного (конкурсного) управляющего, может ли он самостоятельно подписать запрос о предоставлении сведений?","Нет, он может только подать подготовленный запрос, подписанный самим арбитражным управляющим. С 01.02.2022 представитель арбитражного управляющего может подписывать запрос."
"Что означают в ПК ПВД 3 статусы «На проверке ФЛК», «Принято от заявителя»?","При нахождении обращения на шаге «Обработка документов в ППОЗ» оно сменяет несколько промежуточных статусов обработки:
1. На проверке в ФЛК
2. Принято от заявителя
3. Статус обработки пакета с документами
4. Ожидание оплаты (Предоставление сведений, содержащихся в ЕГРН)
5. Оплачено (Предоставление сведений, содержащихся в ЕГРН)
6. Отправлено в ПКУРП
7. Обработка завершена"
"Можно ли при запросе заявителем выписки из ЕГРН о правах отдельного лица на имевшиеся (имеющиеся) у него объекты недвижимости в ПК ПВД указывать предыдущую фамилию правообладателя со слов заявителя, если он не предоставил оригинал документа, подтверждающего смену фамилии?","Для указания предыдущих ФИО заявителя в ПК ПВД в обязательном порядке должен быть предоставлен оригинал документа, подтверждающего смену ФИО."
"Очень часто при запросе выписки из ЕГРН о зоне заявителя не могут сообщить реквизиты решения руководителя ОГВ или ОМС о создании зоны. Подскажите, пожалуйста, где заявители могут узнать эти реквизиты?",Данную информацию можно уточнить на публичной кадастровой карте РФ по реестровому номеру зоны. Также заявитель может подать онлайн-обращение по вопросу предоставления ему реквизитов решения руководителя ОГВ или ОМС о создании зоны в филиал ФГБУ «ФКП Росреестра» по СПб на портале Росреестра.
Что такое ПКК?,"Публичная кадастровая карта (ПКК) – это сервис, открытый для свободного использования всеми желающими в режиме онлайн. ПКК Росреестра позволяет увидеть земельные участки и капитальные сооружения на местности в различных видах отображения - карты Яндекса и Google, изображения участка и прилегающей местности со спутника, тематической карты. Кадастровая карта содержит справочную информацию из ЕГРН по любым объектам недвижимости.
С помощью публичной кадастровой карты Росреестра можно не только получить данные по объектам недвижимости из ЕГРН, но и визуализировать границы земельных участков и капитальных сооружений на местности, получить справочную информацию Росреестра по любому объекту недвижимости на территории России."
"Могут ли арбитражным управляющим быть предоставлены сведений ограниченного доступа в отношении имущества, принадлежащего (принадлежавшего) супругу должника?","Предоставление арбитражным управляющим сведений ограниченного доступа в отношении имущества, принадлежащего(принадлежавшего) супругу (бывшему супругу) должника в деле о банкротства нормами Федерального закона от 13.07.2015 №218-ФЗ «О государственной регистрации недвижимости» не предусмотрено."
" Арбитражными управляющими в качестве документов, подтверждающих право на бесплатное получение сведений, могут быть предоставлены копии судебных актов, удостоверенных электронной подписью. Должны ли такие акты быть дополнительно заверены подписью уполномоченного лица и оттиском гербовой печати суда?","Копии судебных актов Арбитражного суда, не заверенные подписью уполномоченного лица и гербовой печатью суда, являются документами, подтверждающими право арбитражных управляющих на бесплатное получение сведений из ЕГРН."
"Можно ли бесплатно получить сведений из ЕГРН по копии судебных актов Арбитражного суда, не заверенных подписью уполномоченного лица и гербовой печатью суда.","Копии судебных актов Арбитражного суда, не заверенные подписью уполномоченного лица и гербовой печатью суда, являются документами, подтверждающими право арбитражных управляющих на бесплатное получение сведений из ЕГРН."
"Может ли выписку из ЕГРН о содержании правоустанавливающих документов получить бывший правообладатель в отношении документа, по которому он являлся собственником?","Да, бывший правообладатель может получить выписку из ЕГРН о содержании правоустанавливающих документов в отношении документа, по которому он являлся собственником, указав в запросе тип запрашиваемого документа, его наименование и реквизиты."
"Может ли получить выписку из ЕГРН бывший собственник обьекта в отношении документа, по которому он являлся собственником?","Да, бывший правообладатель может получить выписку из ЕГРН о содержании правоустанавливающих документов в отношении документа, по которому он являлся собственником, указав в запросе тип запрашиваемого документа, его наименование и реквизиты."
Может ли получить выписку из ЕГРН бывший собственник помещения о  содержании правоустанавливающих документов.,"Да, бывший правообладатель может получить выписку из ЕГРН о содержании правоустанавливающих документов в отношении документа, по которому он являлся собственником, указав в запросе тип запрашиваемого документа, его наименование и реквизиты."
"В какой выписке из ЕГРН можно увидеть сведения об обременении, которое на данный момент уже снято?",Сведения о снятых запрещениях и арестах будут содержаться в выписке из ЕГРН о правах отдельного лица на имевшиеся (имеющиеся) у него объекты недвижимости.
"При приеме запросов о предоставлении сведений из ЕГРН ограниченного доступа в разделе запроса «Отметка принявшего запрос специалиста» вносится запись: «Предъявлен(ы) оригинал(ы)» и перечисляются наименования и реквизиты предъявленных документов. Следует ли при этом изготавливать с оригиналов документов их копии с проставлением работником МФЦ, осуществляющим прием, отметки о соответствии копий документов их оригиналам?","При приеме запросов о предоставлении сведений из ЕГРН ограниченного доступа в отношении объектов недвижимости, расположенных в Санкт-Петербурге, изготовление копии документа с предъявленного оригинала не требуется. В случае подачи запроса о предоставлении сведений из ЕГРН ограниченного доступа по экстерриториальному принципу, филиал ППК «Роскадастр» по Санкт-Петербургу рекомендует наряду с проставлением отметки принявшего запрос специалиста изготавливать с оригиналов документов их копии с проставлением работником МФЦ, осуществляющим прием, отметки о соответствии копий документов их оригиналам. Изготовленная копия после сканирования возвращается заявителю вместе с предъявленным оригиналом. "
